"","domainname","nbHostname","nbIP","totalScanNb","nbDayHnScanned","loginBannerNb","rejectScanNb","warningBannerNb","sysInfoBannerNb","sshPortNb","noSecurityNoSysinfoNB","SecurityNoSysinfoNB"
"1","-",1,17,2505,0.0902195608782435,0.557285429141717,0.181636726546906,0,0.262674650698603,0,0.207984031936128,0.529341317365269
"2","0l.de",1,1,79,1,0,0,0,1,1,0,0
"3","10gbps.io",1,1,16,1,1,0,0,0,0,0,1
"4","11.be",1,1,149,1,0,0,1,0,0,0,1
"5","123friluft.no",1,1,144,1,1,0,0,1,0,0,0
"6","16clouds.com",2,2,38,1,0,0,0,0,0,1,0
"7","194-wifi4all.nl",1,1,202,1,1,0,0,1,0,0,0
"8","195-wifi4all.nl",1,1,144,1,0.847222222222222,0.152777777777778,0,0,0,0,1
"9","1vm.in",4,4,174,1,0,0,0,0,0,0,0
"10","2-wifi4all.nl",1,2,27,0.518518518518518,1,0,0,0,0,0,1
"11","247everywhere.net",1,8,415,0.530120481927711,0.804819277108434,0.195180722891566,0,0.120481927710843,0,0,0.879518072289157
"12","24x7hosting.nl",1,1,175,1,1,0,0,1,0,0,0
"13","26.net",1,1,206,1,1,0,0,0,0,0,1
"14","27-wifi4all.nl",1,2,24,0.583333333333333,1,0,0,0,0,0,1
"15","2boyz.org",1,1,136,1,0,0,0,1,0,0,0
"16","2bruder.com",1,1,1,1,0,0,0,0,0,1,0
"17","2dayhost.com",3,3,108,1,1,0,0,0,0,0,1
"18","2hip.nl",1,1,1,1,0,0,0,0,0,1,0
"19","2is.nl",1,4,579,0.3713298791019,0,0,0,0,0,1,0
"20","2r.nl",1,1,206,1,0.864077669902913,0.135922330097087,0,0,0,0,1
"21","2tci.nl",1,1,132,1,0,0,0,0,0,1,0
"22","2times.nl",1,1,125,1,0.92,0.08,0,0,0,0,1
"23","3.40",1,1,39,1,0,1,1,0,0,0,1
"24","35.1",1,1,143,1,0.979020979020979,0,0,0,0,0.020979020979021,0.979020979020979
"25","3c-nl.com",1,2,267,0.670411985018727,0.876404494382023,0.123595505617978,0,0,0,0,1
"26","3ict.nl",1,2,18,0.944444444444444,0,0,0,0,0,1,0
"27","3musk.nl",1,1,36,1,1,0,0,1,0,0,0
"28","3winfra.com",1,56,7372,0.0310634834508953,0.728838849701574,0.00949538795442214,0,0.000949538795442214,0,0.261530113944655,0.737520347259902
"29","4com.nl",1,1,1,1,0,0,1,1,0,0,0
"30","4everackable.com",1,1,15,1,0,0,0,1,1,0,0
"31","5",1,1,105,1,0,1,1,0,0,0,1
"32","5060.nl",1,1,207,1,0,0,0,1,0,0,0
"33","51hbm.com",1,1,6,1,0,0,0,0,0,1,0
"34","64bitswebhosting.eu",1,1,2,1,0,0,0,1,1,0,0
"35","8doubieflacks8.us",1,1,1,1,0,0,0,1,1,0,0
"36","8host.com",1,2,88,0.511363636363636,0,0,0,0,0,1,0
"37","9ishdatariya.trade",1,2,2,1,0,0,0,1,1,0,0
"38","a1.nl",2,2,142,1,1,0,0,1,0,0,0
"39","a2000.nu",2,2,393,1,0,0,0,1,0,0,0
"40","a2b-internet.com",191,214,22619,0.966002033688492,0,0,0,0,0,0,0
"41","a2webhosting.com",4,4,58,1,1,0,0,0,0,0,1
"42","a3bc.eu",90,90,7597,1,0,0,0,0,0,0,0
"43","a3bc.nl",39,39,2134,1,0,0,0,0,0,0,0
"44","aabv.nl",1,1,126,1,0.896825396825397,0.103174603174603,0,0,0,0,1
"45","aantjesenschakel.nl",1,1,53,1,1,0,1,0,0,0,1
"46","aantjeszevenberg.nl",1,1,61,1,0.983606557377049,0,1,0,0,0,1
"47","abctilburg.nl",1,1,46,1,0.804347826086957,0.195652173913043,0,0,0,0,1
"48","abelons.com",4,4,15,1,0,0,0,0,0,1,0
"49","abo2u.nl",1,1,2,1,1,0,0,1,0,0,0
"50","aboc.com",1,1,200,1,1,0,0,0,0,0,1
"51","above.net",1,1,24,1,0,0,0,0,0,1,0
"52","ac.za",1,1,6,1,1,0,0,0,0,0,1
"53","acbkenniscentrum.nl",1,1,201,1,0.870646766169154,0.129353233830846,0,0,0,0,1
"54","accuratesmtp.com",6,6,65,1,0,1,1,0,0,0,1
"55","acehookup.com",7,7,170,1,1,0,0,0,0,0,1
"56","achos.nl",3,4,694,0.760806916426513,0,0,0,1,1,0,0
"57","acosti-notaris.nl",1,1,205,1,0.858536585365854,0.141463414634146,0,0,0,0,1
"58","actua.nl",1,1,4,1,0,0,0,1,1,0,0
"59","actv8.nl",1,1,189,1,1,0,0,0,0,0,1
"60","admamsterdam.net",1,1,36,1,0,0,0,1,1,0,0
"61","admin.local",1,3,23,1,1,0,0,1,0,0,0
"62","admsnippe.nl",1,1,209,1,0.952153110047847,0.990430622009569,0,0,0,0,1
"63","adnovate.com",1,1,111,1,0.189189189189189,0.756756756756757,0,0.756756756756757,0,0.0540540540540541,0.189189189189189
"64","adriaanswonenwerken.nl",1,1,207,1,1,0,0,1,0,0,0
"65","adriahost.com",1,1,204,1,0.995098039215686,0,0,0,0,0.00490196078431373,0.995098039215686
"66","advado.nl",1,1,1,1,0,0,0,0,0,1,0
"67","advantech.eu",1,1,59,1,0.627118644067797,0.372881355932203,0,0,0,0,1
"68","advo.nl",2,3,363,1,0,0,0,0,0,0,0
"69","aeict.net",1,1,65,1,1,0,0,1,0,0,0
"70","agarica.nl",1,1,45,1,1,0,0,0,0,0,1
"71","agritrans.nl",1,1,198,1,1,0,0,0,0,0,1
"72","agrovent.nl",1,1,202,1,0.826732673267327,0.173267326732673,0,0,0,0,1
"73","agsadministraties.nl",1,1,164,1,0.920731707317073,0.0792682926829268,0,0,0,0,1
"74","airfiberempe.nl",1,1,6,1,1,0,0,1,0,0,0
"75","airs.nl",2,2,202,1,1,0,0,1,0,0,0
"76","aiwebhost.com",1,1,203,1,0,0,0,0,0,1,0
"77","ajtec.nl",1,1,204,1,0.931372549019608,0.0637254901960784,0,0,0,0.00490196078431373,0.995098039215686
"78","al-anwaar.net",1,1,166,1,0,1,1,0,0,0,1
"79","alamaak.id",1,1,36,1,1,0,0,1,0,0,0
"80","ale.nl",1,1,171,1,0.95906432748538,0,0,0,0,0.0409356725146199,0.95906432748538
"81","alelight.nl",2,2,423,1,0.768321513002364,0.231678486997636,0,0,0,0,1
"82","alesmetaaltechniek.nl",1,1,209,1,0.00478468899521531,0,0.971291866028708,0,0,0.0287081339712919,0.971291866028708
"83","alewijnott.nl",1,1,166,1,0.975903614457831,0,1,1,1,0,0
"84","aliensonacid.nl",2,2,429,1,0,0,0,1,1,0,0
"85","alivini.nl",1,1,1,1,1,0,0,0,0,0,1
"86","aljamir.com",1,1,42,1,1,0,1,0,0,0,1
"87","all-remote-controls.nl",1,1,204,1,0,0,0,1,1,0,0
"88","allin.nl",1,1,204,1,0.950980392156863,0,1,0,0,0,1
"89","alm01.cloud",2,2,22,1,0,0,0,0,0,0,0
"90","alma-tec.nl",1,1,118,1,1,0,0,0,0,0,1
"91","almanax.com",1,1,200,1,0.885,0.115,0,0,0,0,1
"92","almeloord.nl",1,1,43,1,0.837209302325581,0.162790697674419,0,0,0,0,1
"93","alpi.nl",1,1,90,1,1,0,0,1,0,0,0
"94","alslug.dk",1,1,204,1,0,0,0,1,1,0,0
"95","alter.net",20,21,85,0.964705882352941,0,0,1,0,0,0,1
"96","amcconsultancy.nl",1,1,187,1,0,0,0,1,1,0,0
"97","amitec.nl",1,1,186,1,0,0,0,1,1,0,0
"98","amity.nl",1,1,190,1,1,0,0,0,0,0,1
"99","amnitec.nl",1,1,27,1,1,0,0,0,0,0,1
"100","amospalla.es",1,1,1,1,1,0,0,1,0,0,0
"101","ams-01-hall4-jx11-apc02",1,1,135,1,0,0,0,0,0,1,0
"102","ams-01-hall4-jx12-apc02",1,1,134,1,0,0,0,0,0,1,0
"103","ams-01-hall4-kz16-apc02",1,2,137,1,0,0,0,0,0,1,0
"104","ams-01-hall4-kz17-apc02",1,1,135,1,0,0,0,0,0,1,0
"105","ams-01-hall4-kz25-apc02",1,1,132,1,0,0,0,0,0,1,0
"106","ams-01-hall4-lb22-apc02",1,1,134,1,0,0,0,0,0,1,0
"107","ams-01-hall4-li29-apc02",1,1,132,1,0,0,0,0,0,1,0
"108","ams-01-hall4-mu13-apc02",1,1,121,1,0,0,0,0,0,1,0
"109","ams-01-hall4-nm18-apc02",1,1,121,1,0,0,0,0,0,1,0
"110","ams-01-hall4-nm19-apc02",1,1,111,1,0,0,0,0,0,1,0
"111","ams-01-hall4-nm20-apc02",1,1,112,1,0,0,0,0,0,1,0
"112","amsio.com",1,1,85,1,0.470588235294118,0,0,0.0705882352941176,0,0.529411764705882,0.4
"113","amsrv.net",1,1,194,1,0,1,0,1,0,0,0
"114","amtexhost.nl",2,2,313,1,0,0,0,0,0,1,0
"115","an.tl",1,3,125,0.648,0,0.24,0.176,0.76,0,0,0.24
"116","anaccarwash.com",1,1,145,1,0.0137931034482759,0,0.0137931034482759,0,0,0.986206896551724,0.0137931034482759
"117","aniforte.nl",1,1,200,1,0,0,0,1,1,0,0
"118","animallovers.nl",1,1,190,1,0.452631578947368,0.547368421052632,0,0,0,0,1
"119","annavantoor.nl",1,1,11,1,1,0,0,0,0,0,1
"120","annoyingservant.win",1,1,1,1,0,0,0,1,1,0,0
"121","anntaveirne.nl",1,1,209,1,0,0,0,0,0,1,0
"122","anonimage.net",1,1,101,1,0,0,0,1,1,0,0
"123","anonmix.eu",1,1,208,1,0,0,0,1,1,0,0
"124","antispam.ml",1,1,103,1,1,0,0,0,0,0,1
"125","anttail.com",1,1,66,1,1,0,0,1,0,0,0
"126","anyperts.com",1,1,9,1,1,0,0,0,0,0,1
"127","aorta.net",3,3,76,1,0.0526315789473684,0,0.0526315789473684,0,0,0,0.0526315789473684
"128","apache.org",1,1,4,1,0,1,0,1,0,0,0
"129","apc",1,1,139,1,0,0,0,0,0,1,0
"130","apl.ch",1,1,1,1,1,0,1,0,0,0,1
"131","aplusprofessional.nl",1,1,23,1,1,0,0,0,0,0,1
"132","aponop.nl",1,1,200,1,1,0,0,0,0,0,1
"133","apppolar.info",1,1,32,1,0,0,0,1,1,0,0
"134","aprvsactprocd.com",1,1,1,1,1,0,0,1,0,0,0
"135","archkroft.nl",1,1,166,1,0.771084337349398,0.228915662650602,0,0,0,0,1
"136","ardasugur.com",1,1,128,1,0,0,0,1,1,0,0
"137","arenapenthouse.com",1,1,120,1,1,0,0,1,0,0,0
"138","ares-international.nl",1,1,48,1,1,0,0,0,0,0,1
"139","argeweb.nl",3,4,780,0.748717948717949,0,0,0,0,0,0,0
"140","argo-ict.com",1,3,94,0.98936170212766,1,0,0,0,0,0,1
"141","argo-ict.net",3,3,201,1,1,0,0,0,0,0,1
"142","argos7",1,1,181,1,0.988950276243094,0.0110497237569061,0,0,0,0,1
"143","arsis.eu",1,1,11,1,1,0,0,0,0,0,1
"144","artofautomation.net",1,1,203,1,0.985221674876847,0,0,0,0,0.0147783251231527,0.985221674876847
"145","as1102.net",1,2,94,0.787234042553192,1,0,0,1,0,0,0
"146","as197156.net",1,14,2323,0.0977184674989238,0.547998278088678,0.424881618596642,0,0.0817907877744296,0,0,0.91820921222557
"147","as199332.net",52,52,10159,1,0,0,0,0,0,1,0
"148","as199332.nl",1,1,201,1,0,0,0,0,0,1,0
"149","as24730.nl",1,1,203,1,0,1,0,0,0,0,1
"150","as39637.net",1,1,20,1,0,0,0,0,0,1,0
"151","as43190.net",1,2,39,0.538461538461538,0,0,0,0,0,1,0
"152","as47869.net",4,4,177,1,1,0,0,0,0,0,1
"153","as51050.net",44,45,6988,0.995993131081855,0.948769318832284,0,0,0,0,0,0.995277618775043
"154","as51430.net",2,25,125,0.912,0.992,0,0,0,0,0,0.736
"155","as5580.net",4,4,184,1,0,0,0,0,0,0,0
"156","as61349.net",1,1,197,1,0,0.0152284263959391,0,0,0,0.984771573604061,0.0152284263959391
"157","as62454.net",2,2,70,1,1,0,0,0,0,0,0
"158","as65342.net",1,1,203,1,0,0,0,1,1,0,0
"159","as9143.net",3,3,3,1,0,0,1,1,0,0,0
"160","asens.net",1,1,209,1,0.91866028708134,0.0813397129186603,0,0,0,0,1
"161","assign.ipmi",1,5,87,0.459770114942529,1,0,0,0,0,0,1
"162","astralus.net",2,2,5,1,0,0,0,0,0,1,0
"163","at.local",1,1,1,1,1,0,0,1,0,0,0
"164","atami.com",1,1,203,1,0,0,0,1,1,0,0
"165","atbautomation.eu",1,1,9,1,1,0,0,0,0,0,1
"166","atdstramproy.nl",1,1,108,1,0.87962962962963,0.12037037037037,0,0,0,0,1
"167","atom86.net",4,5,408,0.938725490196078,0,0,0,0,0,0,0
"168","atrato.net",2,2,22,1,0,0,0,0,0,0,1
"169","atsc.nl",1,1,207,1,0,1,0,0,0,0,1
"170","audiobizz.nl",1,1,7,1,0,0,0,0,0,1,0
"171","autodealers.nl",1,1,206,1,0.864077669902913,0.135922330097087,0,0,0,0,1
"172","automatia.nl",1,1,21,1,0,0,0,1,1,0,0
"173","autoretraite.com",4,4,248,1,1,0,0,1,0,0,0
"174","autoservicebakker.nl",1,1,206,1,0.932038834951456,0.0679611650485437,0,0,0,0,1
"175","autotrust.nl",1,1,44,1,0.977272727272727,0.0227272727272727,0,0,0,0,1
"176","avaritia.com",1,1,175,1,0,0,0,1,1,0,0
"177","aveha.com",1,1,194,1,1,0,0,0,0,0,1
"178","aventus.nl",1,1,119,1,1,0,0,1,0,0,0
"179","avestadns.com",10,10,687,1,0.998544395924309,0,0,1,0,0,0
"180","avs-amazon.eu",1,1,161,1,0,0,0,0,0,1,0
"181","avydo.nl",1,1,195,1,0.143589743589744,0.0205128205128205,0,0,0,0.835897435897436,0.164102564102564
"182","awcloud.nl",3,3,72,1,0,0,0,0,0,0,0
"183","aws-panel",1,1,8,1,0,0,0,0,0,1,0
